Teammembers,Experience,Size,Complexity,Priority,Noftasks,PL,developmenttype,platform,externalhardware,relatedtechnologies,dbms,effort
3,12,3,3,7,4,Java,M,Android Studio,1,Location,Firebase,2
3,12,2,2,8,4,Java,M,Android Studio,0,Location,Firebase,2
3,12,1,1,9,3,Java,M,Android Studio,0,0,Firebase,1
3,12,3,3,10,3,Java,M,Android Studio,0,0,Firebase,2
3,12,1,1,11,3,Java,M,Android Studio,0,Location,Firebase,3
3,12,1,1,12,3,Java,M,Android Studio,0,0,Firebase,1
3,12,1,1,13,3,Java,M,Android Studio,0,0,Firebase,1
3,6,1,1,1,3,Java,M,Android Studio,0,0,SQL,1
3,6,1,1,1,2,Java,M,Android Studio,0,0,SQL,1
3,6,2,2,2,2,Java,M,Android Studio,0,0,SQL,2
3,6,4,3,3,3,Java,M,Android Studio,0,0,SQL,3
3,6,2,2,3,2,Java,M,Android Studio,0,0,SQL,2
3,6,2,2,3,3,Java,M,Android Studio,0,0,SQL,3
3,6,4,4,1,3,Java,M,Android Studio,0,0,SQL,5
3,6,1,1,3,3,Java,M,Android Studio,0,0,SQL,1
3,6,3,4,1,3,Java,M,Android Studio,0,0,SQL,3
3,6,3,4,1,2,Java,M,Android Studio,0,LBT,SQL,5
3,6,4,4,1,3,Java,M,Android Studio,0,LBT,SQL,8
3,6,1,1,3,3,Java,M,Android Studio,0,0,SQL,1
3,12,3,1,1,3,html,M,Android Studio,0,0,SQL,3
3,12,3,2,2,3,html,M,Android Studio,0,0,SQL,3
3,12,4,3,3,1,html,M,Android Studio,0,Location,SQL,5
3,12,4,3,4,1,html,M,Android Studio,0,0,SQL,5
3,12,3,3,5,1,html,M,Android Studio,0,0,SQL,3
3,12,3,3,6,1,html,M,Android Studio,0,0,SQL,3
3,12,3,3,7,2,html,M,Android Studio,0,0,SQL,3
3,12,2,2,8,1,html,M,Android Studio,0,0,SQL,2
3,12,2,2,9,1,html,M,Android Studio,0,0,SQL,2
3,"[12,24]",3,2,1,3,C#,M,Android Studio,0,AR,Vuforia,3
3,"[12,24]",3,2,2,3,C#,M,Android Studio,0,AR,Vuforia,2
3,"[12,24]",2,1,3,2,C#,M,Android Studio,0,AR,Vuforia,2
3,"[12,24]",3,2,4,3,C#,M,Android Studio,0,AR,Vuforia,3
3,"[12,24]",4,4,5,5,C#,M,Android Studio,0,AR,Vuforia,5
3,"[12,24]",1,1,6,2,C#,M,Android Studio,0,AR,Vuforia,1
3,"[12,24]",3,2,7,3,C#,M,Android Studio,0,AR,Vuforia,2
3,6,5,3,1,5,Python,Deep Learning Model,Google Colab ,1,Computer vision,none,13
3,6,3,2,2,5,Java,database,Android Studio,0,0,Firebase,2
3,6,3,2,4,1,Java,M,Android Studio,0,Gamification ,none,3
3,6,4,4,3,7,Java,M,Android Studio,1,Location,Firebase,5
2,24,4,1,1,5,Java,M,Android Studio,0,Computer vision,Firebase,5
2,24,1,1,4,5,Java,M,Android Studio,0,0,none,1
2,24,4,3,2,3,Java,M,.net,0,0,Firebase,5
2,24,1,1,3,3,Java,M,Android Studio,0,0,Firebase,3
4,12,5,5,1,3,Java,M,Android Studio,1,Computer vision,SQL,13
4,12,3,3,5,3,Java,M,Android Studio,0,0,SQL,3
4,12,1,2,2,3,Java,M,Android Studio,0,0,SQL,2
4,12,5,5,4,3,Java,M,Android Studio,0,Location,Firebase,5
4,12,1,1,3,3,Java,M,Android Studio,0,0,SQL,1
